Player,Player_id,Pos,Team
Charlie Heck,36501,T,Free Agent
Julian Good-Jones,36624,G,Free Agent
Jon Runyan,36661,G,Berlin
T.J. Smith,36851,DI,Free Agent
Albert Huggins,36862,DI,Free Agent
Austen Pleasants,37066,T,Free Agent
Jonah Jackson,37070,G,New Orleans
Shy Tuttle,37279,DI,Ivory Coast
Erik McCoy,37347,C,Las Vegas
Troy Reeder,38268,LB,Free Agent
Juwann Winfree,38275,WR,Free Agent
Kyler Murray,38334,QB,Cwmfelinfach
Camryn Bynum,38408,S,Berlin
Cameron Goode,38410,ED,Free Agent
Casey Toohill,38472,ED,Free Agent
Matthew Adams,38526,LB,Free Agent
Marquise Copeland,38540,DI,Free Agent
Jordan Kunaszyk,38548,LB,Free Agent
Jake Curhan,38549,T,Free Agent
Michael Deiter,38554,C,Free Agent
Folorunso Fatukasi,38558,DI,Cancun
Maurice Hurst,38563,DI,Free Agent
Eric Wilson,38587,LB,Free Agent
Evan Brown,38709,C,Las Vegas
Justin Skule,38951,T,Free Agent
Curtis Bolton,39043,LB,Free Agent
Frank Ragnow,39137,C,Anchorage
Nick Allegretti,39268,G,Free Agent
Coleman Shelton,39316,C,Free Agent
Will Clapp,39386,C,Free Agent
Daniel Jones,39395,QB,Free Agent
Terence Steele,39461,T,Ivory Coast
Boston Scott,39462,HB,Free Agent
Drew Lock,39517,QB,Free Agent
Michael Dunn,39676,G,Free Agent
Cody Ford,39805,G,Free Agent
Kyle Trask,39987,QB,Greenland
Devin Duvernay,40006,WR,Free Agent
Jalen Hurts,40291,QB,Lancaster
Tershawn Wharton,40292,DI,Free Agent
Jordan Love,40306,QB,Akureyri
Chazz Surratt,40313,LB,Free Agent
Zack Moss,40341,HB,Raleigh
Stephen Sullivan,40411,TE,Free Agent
Patrick Taylor,40448,HB,Free Agent
Devin Singletary,40485,HB,Quebec
Tony Jones Jr.,40498,HB,Free Agent
Kene Nwangwu,40547,HB,Free Agent
Miles Sanders,40555,HB,Free Agent
Velus Jones Jr.,40573,WR,Cancun
L'Jarius Sneed,40588,CB,Quebec
Kylen Granson,40630,TE,Cwmfelinfach
Brandon Johnson,40666,WR,Free Agent
Darrynton Evans,40692,HB,Free Agent
Rico Dowdle,40693,HB,Berlin
T.J. Hockenson,40912,TE,Hungary
Reggie Gilliam,40951,FB,Free Agent
Alaric Jackson,40972,T,Las Vegas
Tommy Kraemer,40976,T,Free Agent
Luke Wattenberg,41024,G,Free Agent
Trystan Colon,41117,G,Free Agent
Ryan Neuzil,41123,C,Free Agent
